"Rec_id","Datum","Kod","LnNo","PorNo","EvCislo","Vozovna","FyzAdresa","A","B","C","D","E","F","G","H","Zapsano"
"14230713617","07/14/2012 23:07:13","V+",59,1,"8738",8,"270254",0,0,0,0,,,,,0
"14230713618","07/14/2012 23:07:13","PP",59,1,"8738",8,"270254",0,0,0,0,"3BE","090712","00BD","0002",0
"14230713619","07/14/2012 23:07:13","P+",59,1,"8738",8,"270254",0,0,0,0,"9059","459",,,0
"14231232620","07/14/2012 23:12:32","Z!",59,1,"8738",8,"270254",957,4,,0,,,,,0
"14231507621","07/14/2012 23:15:07","V+",51,1,"8157",7,"270732",0,0,0,0,,,,,0
"14231326622","07/14/2012 23:13:26","Z ",51,1,"8157",7,"270732",85,2,-9334,0,,,,,0
"14231507623","07/14/2012 23:15:07","PP",51,1,"8157",7,"270732",0,0,0,0,"3BE","110712","00BD","0002",0
"14231507624","07/14/2012 23:15:07","P+",51,1,"8157",7,"270732",0,0,0,0,"351","351",,,0
"14231952625","07/14/2012 23:19:52","V+",59,5,"8662",3,"270453",0,0,0,0,,,,,0
"14231952626","07/14/2012 23:19:52","PP",59,5,"8662",3,"270453",0,0,0,0,"3BE","090712","00BD","0002",0
"14231952627","07/14/2012 23:19:52","P+",59,5,"8662",3,"270453",0,0,0,0,"9559","459",,,0
"14232042628","07/14/2012 23:20:42","Z ",59,1,"8738",8,"270254",957,3,-18,1,,,,,0
"14232125629","07/14/2012 23:21:25","M ",59,1,"8738",8,"270254",957,3,25,0,,"FA",,,0
"14232200630","07/14/2012 23:22:00","Z ",59,1,"8738",8,"270254",184,3,60,1,,,,,0
"14232252631","07/14/2012 23:22:52","Z ",59,1,"8738",8,"270254",319,1,52,1,,,,,0
"14232306632","07/14/2012 23:23:06","V+",56,4,"8158",7,"270819",0,0,0,0,,,,,0
"14232306633","07/14/2012 23:23:06","PP",56,4,"8158",7,"270819",0,0,0,0,"3BE","110712","00BD","0002",0
"14232306634","07/14/2012 23:23:06","P+",56,4,"8158",7,"270819",0,0,0,0,"9156","456",,,0
"14232340635","07/14/2012 23:23:40","Z ",59,1,"8738",8,"270254",1044,1,40,1,,,,,0
"14232422636","07/14/2012 23:24:22","Z ",59,1,"8738",8,"270254",302,1,22,1,,,,,0
"14232445637","07/14/2012 23:24:45","M ",59,1,"8738",8,"270254",302,1,45,0,,"11",,,0
"14232532638","07/14/2012 23:25:32","Z!",59,5,"8662",3,"270453",807,2,,0,,,,,0
"14232638639","07/14/2012 23:26:38","Z ",59,1,"8738",8,"270254",5002,9,-22,1,,,,,0
"14232832640","07/14/2012 23:28:32","Z!",56,4,"8158",7,"270819",866,2,,0,,,,,0
"14232836641","07/14/2012 23:28:36","V+",52,1,"8360",1,"270871",0,0,0,0,,,,,0
"14232501642","07/14/2012 23:25:01","Z ",52,1,"8360",1,"270871",72,2,-10259,0,,,,,0
"14232836643","07/14/2012 23:28:36","PP",52,1,"8360",1,"270871",0,0,0,0,"3BE","090712","00BD","0002",0
"14232836644","07/14/2012 23:28:36","P+",52,1,"8360",1,"270871",0,0,0,0,"52","52",,,0
"14232846645","07/14/2012 23:28:46","Z ",59,1,"8738",8,"270254",5040,3,-14,1,,,,,0
"14232915646","07/14/2012 23:29:15","MK",59,1,"8738",8,"270254",5040,3,15,0,,"11",,,0
"14232938647","07/14/2012 23:29:38","Z ",59,1,"8738",8,"270254",1040,2,-22,1,,,,,0
"14233018648","07/14/2012 23:30:18","MK",59,1,"8738",8,"270254",1040,2,18,0,,"11",,,0
"14233057649","07/14/2012 23:30:57","Z ",59,5,"8662",3,"270453",807,1,-3,1,,,,,0
"14233109650","07/14/2012 23:31:09","M ",59,5,"8662",3,"270453",807,1,9,0,,"11",,,0
"14233136651","07/14/2012 23:31:36","Z ",59,1,"8738",8,"270254",25,2,-24,1,,,,,0
"14233229652","07/14/2012 23:32:29","Z ",59,5,"8662",3,"270453",404,1,29,1,,,,,0
"14233233653","07/14/2012 23:32:33","Z ",59,1,"8738",8,"270254",805,2,-27,1,,,,,0
"14233304654","07/14/2012 23:33:04","Z ",59,5,"8662",3,"270453",358,1,4,1,,,,,0
"14233342655","07/14/2012 23:33:42","Z ",59,1,"8738",8,"270254",254,2,-18,1,,,,,0
"14233349656","07/14/2012 23:33:49","Z ",59,5,"8662",3,"270453",1071,11,-11,1,,,,,0
"14233403657","07/14/2012 23:34:03","V+",53,1,"8458",2,"270860",0,0,0,0,,,,,0
"14233131658","07/14/2012 23:31:31","Z ",53,1,"8458",2,"270860",651,2,-9749,0,,,,,0
"14233403659","07/14/2012 23:34:03","PP",53,1,"8458",2,"270860",0,0,0,0,"3BE","110712","00BD","0002",0
"14233403660","07/14/2012 23:34:03","P+",53,1,"8458",2,"270860",0,0,0,0,"53","53",,,0
"14233444661","07/14/2012 23:34:44","Z ",59,1,"8738",8,"270254",240,2,-16,1,,,,,0
"14233450662","07/14/2012 23:34:50","Z ",59,5,"8662",3,"270453",70,1,-10,1,,,,,0
"14233502663","07/14/2012 23:35:02","MK",59,5,"8662",3,"270453",70,1,2,0,,"11",,,0
"14233509664","07/14/2012 23:35:09","M ",59,1,"8738",8,"270254",240,2,9,0,,"11",,,0
"14233556665","07/14/2012 23:35:56","Z ",59,5,"8662",3,"270453",496,1,-4,1,,,,,0
"14233606666","07/14/2012 23:36:06","Z ",59,1,"8738",8,"270254",289,2,6,1,,,,,0
"14233626667","07/14/2012 23:36:26","M ",59,1,"8738",8,"270254",289,2,26,0,,"11",,,0
"14233645668","07/14/2012 23:36:45","Z ",59,5,"8662",3,"270453",900,1,-15,1,,,,,0
"14233714669","07/14/2012 23:37:14","Z ",59,1,"8738",8,"270254",580,2,-46,1,,,,,0
"14233731670","07/14/2012 23:37:31","M ",59,1,"8738",8,"270254",580,2,-29,0,,"11",,,1
"14233755671","07/14/2012 23:37:55","Z ",59,5,"8662",3,"270453",690,1,-5,1,,,,,0
"14233801672","07/14/2012 23:38:01","M ",59,5,"8662",3,"270453",690,1,1,0,,"11",,,0
"14233835674","07/14/2012 23:38:35","M ",59,1,"8738",8,"270254",567,2,-25,0,,"11",,,1
"14233847675","07/14/2012 23:38:47","Z ",56,4,"8158",7,"270819",866,1,-13,1,,,,,0
"14233905676","07/14/2012 23:39:05","M ",56,4,"8158",7,"270819",866,1,5,0,,"11",,,0
"14233917677","07/14/2012 23:39:17","Z ",59,5,"8662",3,"270453",848,1,17,1,,,,,0
"14233923678","07/14/2012 23:39:23","V+",54,5,"8557",1,"271025",0,0,0,0,,,,,0
"14233824679","07/14/2012 23:38:24","Z ",54,5,"8557",1,"271025",1019,2,-12816,0,,,,,0
"14233923680","07/14/2012 23:39:23","PP",54,5,"8557",1,"271025",0,0,0,0,"3BE","090712","00BD","0002",0
"14233923681","07/14/2012 23:39:23","P+",54,5,"8557",1,"271025",0,0,0,0,"54","54",,,0
"14233932682","07/14/2012 23:39:32","Z ",59,1,"8738",8,"270254",865,2,-28,1,,,,,0
"14234001683","07/14/2012 23:40:01","Z ",56,4,"8158",7,"270819",433,1,1,1,,,,,0
"14234002684","07/14/2012 23:40:02","Z ",59,5,"8662",3,"270453",299,1,2,1,,,,,0
"14234004685","07/14/2012 23:40:04","MK",59,1,"8738",8,"270254",865,2,4,0,,"11",,,0
"14234046686","07/14/2012 23:40:46","Z ",59,1,"8738",8,"270254",394,2,-14,1,,,,,0
"14234102687","07/14/2012 23:41:02","M ",59,1,"8738",8,"270254",394,2,2,0,,"11",,,0
"14234135688","07/14/2012 23:41:35","Z ",59,5,"8662",3,"270453",849,1,35,1,,,,,0
"14234148689","07/14/2012 23:41:48","Z ",56,4,"8158",7,"270819",597,1,48,1,,,,,0
"14234150690","07/14/2012 23:41:50","Z ",59,1,"8738",8,"270254",395,2,-10,1,,,,,0
"14234206691","07/14/2012 23:42:06","M ",59,1,"8738",8,"270254",395,2,6,0,,"11",,,0
"14234215692","07/14/2012 23:42:15","M ",56,4,"8158",7,"270819",597,1,75,0,,"11",,,0
"14234218693","07/14/2012 23:42:18","Z ",59,5,"8662",3,"270453",921,1,18,1,,,,,0
"14234258694","07/14/2012 23:42:58","Z ",59,1,"8738",8,"270254",113,2,-2,1,,,,,0
"14234322695","07/14/2012 23:43:22","M ",59,1,"8738",8,"270254",113,2,22,0,,"11",,,0
"14234404696","07/14/2012 23:44:04","Z ",56,4,"8158",7,"270819",530,1,4,1,,,,,0
"14234421697","07/14/2012 23:44:21","Z ",59,1,"8738",8,"270254",236,2,-39,1,,,,,0
"14234430698","07/14/2012 23:44:30","V+",55,4,"8713",8,"270478",0,0,0,0,,,,,0
"14234243699","07/14/2012 23:42:43","Z ",55,4,"8713",8,"270478",807,2,-10997,0,,,,,0
"14234430700","07/14/2012 23:44:30","PP",55,4,"8713",8,"270478",0,0,0,0,"3BE","090712","00BD","0002",0
"14234430701","07/14/2012 23:44:30","P+",55,4,"8713",8,"270478",0,0,0,0,"55","55",,,0
"14234445702","07/14/2012 23:44:45","M ",59,1,"8738",8,"270254",236,2,-15,0,,"11",,,1
"14234504703","07/14/2012 23:45:04","Z ",59,5,"8662",3,"270453",373,2,64,1,,,,,0
"14234507704","07/14/2012 23:45:07","Z ",56,4,"8158",7,"270819",503,1,7,1,,,,,0
"14234529705","07/14/2012 23:45:29","V+",53,2,"8214",4,"270477",0,0,0,0,,,,,0
"14234346706","07/14/2012 23:43:46","Z ",53,2,"8214",4,"270477",651,2,-10814,0,,,,,0
"14234529707","07/14/2012 23:45:29","PP",53,2,"8214",4,"270477",0,0,0,0,"3BE","090712","00BD","0002",0
"14234529708","07/14/2012 23:45:29","P+",53,2,"8214",4,"270477",0,0,0,0,"53","53",,,0
"14234528709","07/14/2012 23:45:28","Z ",59,1,"8738",8,"270254",47,2,-32,1,,,,,0
"14234552710","07/14/2012 23:45:52","Z ",59,5,"8662",3,"270453",469,2,-8,1,,,,,0
"14234600711","07/14/2012 23:46:00","V+",54,1,"8389",4,"270645",0,0,0,0,,,,,0
"14234435712","07/14/2012 23:44:35","Z ",54,1,"8389",4,"270645",72,2,-10525,0,,,,,0
"14234600713","07/14/2012 23:46:00","PP",54,1,"8389",4,"270645",0,0,0,0,"3BE","090712","00BD","0002",0
"14234600714","07/14/2012 23:46:00","P+",54,1,"8389",4,"270645",0,0,0,0,"54","54",,,0
"14234602715","07/14/2012 23:46:02","M ",59,1,"8738",8,"270254",47,2,2,0,,"11",,,0
"14234635716","07/14/2012 23:46:35","Z ",56,4,"8158",7,"270819",152,2,-25,1,,,,,0
"14234650717","07/14/2012 23:46:50","Z ",59,1,"8738",8,"270254",612,2,-70,1,,,,,0
"14234705718","07/14/2012 23:47:05","PP",59,1,"8738",8,"270254",0,0,0,0,"3BE","090712","00BD","0002",0
"14234705719","07/14/2012 23:47:05","P+",59,1,"8738",8,"270254",0,0,0,0,"459","459",,,0
"14234710720","07/14/2012 23:47:10","Z ",59,5,"8662",3,"270453",34,2,10,1,,,,,0
"14234734721","07/14/2012 23:47:34","M ",59,5,"8662",3,"270453",34,2,34,0,,"11",,,0
"14234744722","07/14/2012 23:47:44","Z ",56,4,"8158",7,"270819",559,2,-16,1,,,,,0
"14234752723","07/14/2012 23:47:52","MP",59,1,"8738",8,"270254",612,2,-8,0,,"11",,,0
"14234823724","07/14/2012 23:48:23","Z ",59,5,"8662",3,"270453",512,2,23,1,,,,,0
"14234826725","07/14/2012 23:48:26","Z ",51,1,"8157",7,"270732",85,1,-34,1,,,,,0
"14234831726","07/14/2012 23:48:31","V+",53,5,"8465",2,"270227",0,0,0,0,,,,,0
"14234831727","07/14/2012 23:48:31","PP",53,5,"8465",2,"270227",0,0,0,0,"3BE","110712","00BD","0002",0
"14234831728","07/14/2012 23:48:31","P+",53,5,"8465",2,"270227",0,0,0,0,"9253","53",,,0
"14234903729","07/14/2012 23:49:03","Z ",56,4,"8158",7,"270819",376,2,-57,1,,,,,0
"14234905730","07/14/2012 23:49:05","MO",51,1,"8157",7,"270732",85,1,5,0,,"11",,,0
"14234927731","07/14/2012 23:49:27","PP",59,5,"8662",3,"270453",0,0,0,0,"3BE","090712","00BD","0002",0
"14234927732","07/14/2012 23:49:27","P+",59,5,"8662",3,"270453",0,0,0,0,"459","459",,,0
"14234935733","07/14/2012 23:49:35","Z ",53,1,"8458",2,"270860",651,1,-25,1,,,,,0
"14234949734","07/14/2012 23:49:49","Z ",51,1,"8157",7,"270732",868,1,-11,1,,,,,0
"14235002735","07/14/2012 23:50:02","MK",56,4,"8158",7,"270819",376,2,2,0,,"11",,,0
"14235011736","07/14/2012 23:50:11","MO",53,1,"8458",2,"270860",651,1,11,0,,"11",,,0
"14235018737","07/14/2012 23:50:18","V+",58,5,"8717",8,"270196",0,0,0,0,,,,,0
"14235018738","07/14/2012 23:50:18","PP",58,5,"8717",8,"270196",0,0,0,0,"3BE","090712","00BD","0002",0
"14235018739","07/14/2012 23:50:18","P+",58,5,"8717",8,"270196",0,0,0,0,"9058","358",,,0
"14235018740","07/14/2012 23:50:18","MR",59,5,"8662",3,"270453",8140,1,,0,,"11",,,0
"14235037741","07/14/2012 23:50:37","V+",57,1,"8636",5,"270303",0,0,0,0,,,,,0
"14234951742","07/14/2012 23:49:51","Z ",57,1,"8636",5,"270303",31,1,-1089,0,,,,,0
"14235037743","07/14/2012 23:50:37","PP",57,1,"8636",5,"270303",0,0,0,0,"3BE","090712","00BD","0002",0
"14235037744","07/14/2012 23:50:37","P+",57,1,"8636",5,"270303",0,0,0,0,"457","457",,,0
"14235043745","07/14/2012 23:50:43","MR",59,5,"8662",3,"270453",8150,1,,0,,"11",,,0
"14235056746","07/14/2012 23:50:56","Z ",51,1,"8157",7,"270732",283,1,-4,1,,,,,0
"14235058747","07/14/2012 23:50:58","Z ",53,1,"8458",2,"270860",467,1,-2,1,,,,,0
"14235102748","07/14/2012 23:51:02","Z ",56,4,"8158",7,"270819",550,2,2,1,,,,,0
"14235139749","07/14/2012 23:51:39","Z ",56,4,"8158",7,"270819",183,2,-21,1,,,,,0
"14235144750","07/14/2012 23:51:44","V+",52,5,"8559",1,"270869",0,0,0,0,,,,,0
"14234228751","07/14/2012 23:42:28","Z ",52,5,"8559",1,"270869",946,2,-11552,0,,,,,0
"14235144752","07/14/2012 23:51:44","PP",52,5,"8559",1,"270869",0,0,0,0,"3BE","090712","00BD","0002",0
"14235144753","07/14/2012 23:51:44","P+",52,5,"8559",1,"270869",0,0,0,0,"52","52",,,0
"14235147754","07/14/2012 23:51:47","Z ",53,1,"8458",2,"270860",740,1,-13,1,,,,,0
"14235241755","07/14/2012 23:52:41","Z ",51,1,"8157",7,"270732",462,1,41,1,,,,,0
"14235248756","07/14/2012 23:52:48","Z ",59,5,"8662",3,"270453",837,2,0,1,"D",,,,0
"14235250757","07/14/2012 23:52:50","Z ",53,1,"8458",2,"270860",78,1,-10,1,,,,,0
"14235253758","07/14/2012 23:52:53","Z ",52,1,"8360",1,"270871",72,1,-7,1,,,,,0
"14235303759","07/14/2012 23:53:03","Z ",56,4,"8158",7,"270819",751,2,-57,1,,,,,0
"14235304760","07/14/2012 23:53:04","MO",52,1,"8360",1,"270871",72,1,4,0,,"11",,,0
"14235314761","07/14/2012 23:53:14","MK",53,1,"8458",2,"270860",78,1,14,0,,"11",,,0
"14235337762","07/14/2012 23:53:37","Z ",55,4,"8713",8,"270478",807,1,-23,1,,,,,0
"14235340763","07/14/2012 23:53:40","Z ",52,1,"8360",1,"270871",652,1,-20,1,,,,,0
"14235344764","07/14/2012 23:53:44","Z ",51,1,"8157",7,"270732",73,1,44,1,,,,,0
"14235402765","07/14/2012 23:54:02","Z ",53,1,"8458",2,"270860",314,1,2,1,,,,,0
"14235405766","07/14/2012 23:54:05","MO",55,4,"8713",8,"270478",807,1,5,0,,"11",,,0
"14235429767","07/14/2012 23:54:29","Z!",53,5,"8465",2,"270227",508,2,,0,,,,,0
"14235441768","07/14/2012 23:54:41","Z ",52,1,"8360",1,"270871",135,1,-19,1,,,,,0
"14235448769","07/14/2012 23:54:48","Z ",55,4,"8713",8,"270478",404,1,-12,1,,,,,0
"14235452770","07/14/2012 23:54:52","Z ",53,1,"8458",2,"270860",676,1,-8,1,,,,,0
"14235502771","07/14/2012 23:55:02","Z ",56,4,"8158",7,"270819",697,2,-118,1,,,,,0
"14235514772","07/14/2012 23:55:14","Z ",51,1,"8157",7,"270732",943,1,14,1,,,,,0
"14235517773","07/14/2012 23:55:17","V+",56,1,"8319",4,"270628",0,0,0,0,,,,,0
"14235130774","07/14/2012 23:51:30","Z ",56,1,"8319",4,"270628",541,2,-9570,0,,,,,0
"14235517775","07/14/2012 23:55:17","PP",56,1,"8319",4,"270628",0,0,0,0,"3BE","090712","00BD","0002",0
"14235517776","07/14/2012 23:55:17","P+",56,1,"8319",4,"270628",0,0,0,0,"456","456",,,0
"14235517777","07/14/2012 23:55:17","PP",56,4,"8158",7,"270819",0,0,0,0,"3BE","110712","00BD","0002",0
"14235517778","07/14/2012 23:55:17","P+",56,4,"8158",7,"270819",0,0,0,0,"456","456",,,0
"14235524779","07/14/2012 23:55:24","V+",58,4,"8603",5,"270438",0,0,0,0,,,,,0
"14235333780","07/14/2012 23:53:33","Z ",58,4,"8603",5,"270438",612,2,-9207,0,,,,,0
"14235524781","07/14/2012 23:55:24","PP",58,4,"8603",5,"270438",0,0,0,0,"3BE","090712","00BD","0002",0
"14235524782","07/14/2012 23:55:24","P+",58,4,"8603",5,"270438",0,0,0,0,"358","358",,,0
"14235533783","07/14/2012 23:55:33","V+",59,6,"8693",3,"270728",0,0,0,0,,,,,0
"14235533784","07/14/2012 23:55:33","PP",59,6,"8693",3,"270728",0,0,0,0,"3BE","090712","00BD","0002",0
"14235533785","07/14/2012 23:55:33","P+",59,6,"8693",3,"270728",0,0,0,0,"9559","459",,,0
"14235532786","07/14/2012 23:55:32","Z!",58,5,"8717",8,"270196",957,4,,0,,,,,0
"14235541787","07/14/2012 23:55:41","Z ",55,4,"8713",8,"270478",358,1,-19,1,,,,,0
"14235550788","07/14/2012 23:55:50","MP",56,4,"8158",7,"270819",697,2,-70,0,,"11",,,0
"14235603789","07/14/2012 23:56:03","V+",58,1,"8661",3,"270666",0,0,0,0,,,,,0
"14235441790","07/14/2012 23:54:41","Z ",58,1,"8661",3,"270666",694,2,-9739,0,,,,,0
"14235603791","07/14/2012 23:56:03","PP",58,1,"8661",3,"270666",0,0,0,0,"3BE","090712","00BD","0002",0
"14235603792","07/14/2012 23:56:03","P+",58,1,"8661",3,"270666",0,0,0,0,"358","358",,,0
"14235602793","07/14/2012 23:56:02","Z ",53,1,"8458",2,"270860",675,1,2,1,,,,,0
"14235618794","07/14/2012 23:56:18","Z ",52,1,"8360",1,"270871",242,1,18,1,,,,,0
"14235625795","07/14/2012 23:56:25","V+",57,4,"8344",7,"270822",0,0,0,0,,,,,0
"14235625796","07/14/2012 23:56:25","PP",57,4,"8344",7,"270822",0,0,0,0,"3BE","110712","00BD","0002",0
"14235625797","07/14/2012 23:56:25","P+",57,4,"8344",7,"270822",0,0,0,0,"457","457",,,0
"14235631798","07/14/2012 23:56:31","Z ",55,4,"8713",8,"270478",1071,11,-29,1,,,,,0
"14235645799","07/14/2012 23:56:45","MP",58,1,"8661",3,"270666",694,2,-9615,0,,"10",,,0
"14235649800","07/14/2012 23:56:49","Z ",51,1,"8157",7,"270732",157,1,49,1,,,,,0
"14235651801","07/14/2012 23:56:51","Z ",53,1,"8458",2,"270860",249,1,-9,1,,,,,0
"14235720802","07/14/2012 23:57:20","Z ",51,1,"8157",7,"270732",40,1,20,1,,,,,0
"14235721803","07/14/2012 23:57:21","Z ",54,1,"8389",4,"270645",72,1,-39,1,,,,,0
"14235731804","07/14/2012 23:57:31","Z ",52,5,"8559",1,"270869",945,2,-10649,1,"FD",,,,0
"14235730805","07/14/2012 23:57:30","Z!",59,1,"8738",8,"270254",612,1,,0,,,,,0
"14235741806","07/14/2012 23:57:41","Z ",58,5,"8717",8,"270196",957,3,-19,1,,,,,0
"14235744807","07/14/2012 23:57:44","Z ",55,4,"8713",8,"270478",70,1,-16,1,,,,,0
"14235804808","07/14/2012 23:58:04","Z ",52,1,"8360",1,"270871",755,1,4,1,,,,,0
"14235805809","07/14/2012 23:58:05","MO",54,1,"8389",4,"270645",72,1,5,0,,"11",,,0
"14235808810","07/14/2012 23:58:08","MK",55,4,"8713",8,"270478",70,1,8,0,,"11",,,0
"14235810811","07/14/2012 23:58:10","Z ",51,1,"8157",7,"270732",130,1,10,1,,,,,0
"14235809812","07/14/2012 23:58:09","M ",58,5,"8717",8,"270196",957,3,9,0,,"11",,,0
"14235819813","07/14/2012 23:58:19","Z ",53,1,"8458",2,"270860",139,1,-41,1,,,,,0
"14235824814","07/14/2012 23:58:24","M ",52,1,"8360",1,"270871",755,1,24,0,,"11",,,0
"14235840815","07/14/2012 23:58:40","MO",59,1,"8738",8,"270254",612,3,40,0,,"11",,,0
"14235851816","07/14/2012 23:58:51","Z ",55,4,"8713",8,"270478",496,1,-9,1,,,,,0
"14235856817","07/14/2012 23:58:56","Z ",58,5,"8717",8,"270196",184,3,56,1,,,,,0
"14235855818","07/14/2012 23:58:55","Z ",54,1,"8389",4,"270645",652,1,-5,1,,,,,0
"14235917819","07/14/2012 23:59:17","Z ",52,1,"8360",1,"270871",775,1,17,1,,,,,0
"14235931820","07/14/2012 23:59:31","Z ",59,1,"8738",8,"270254",47,1,31,1,,,,,0
"14235940821","07/14/2012 23:59:40","Z ",55,4,"8713",8,"270478",900,1,-20,1,,,,,0
"14235950822","07/14/2012 23:59:50","Z ",58,5,"8717",8,"270196",319,1,50,1,,,,,0
"14235956823","07/14/2012 23:59:56","Z ",54,1,"8389",4,"270645",135,1,-4,1,,,,,0
"14235958824","07/14/2012 23:59:58","Z ",54,5,"8557",1,"271025",1019,1,-2,1,,,,,0
"15000000825","07/15/2012 00:00:00","M ",59,1,"8738",8,"270254",47,1,60,0,,"11",,,0
"15000006826","07/15/2012 00:00:06","MO",54,5,"8557",1,"271025",1019,1,6,0,,"FA",,,0
"15000006827","07/15/2012 00:00:06","Z ",51,1,"8157",7,"270732",757,1,66,1,,,,,0
"15000006828","07/15/2012 00:00:06","Z ",52,1,"8360",1,"270871",691,1,6,1,,,,,0
"15000034829","07/15/2012 00:00:34","MR",53,1,"8458",2,"270860",7201,1,,0,,"10",,,0
"15000038830","07/15/2012 00:00:38","Z ",58,5,"8717",8,"270196",1044,1,38,1,,,,,0
"15000042831","07/15/2012 00:00:42","Z ",55,4,"8713",8,"270478",690,1,-18,1,,,,,0
"15000047832","07/15/2012 00:00:47","Z ",59,1,"8738",8,"270254",236,1,47,1,,,,,0
"15000049833","07/15/2012 00:00:49","Z ",53,1,"8458",2,"270860",447,1,-11,1,,,,,0
"15000046834","07/15/2012 00:00:46","M!",53,5,"8465",2,"270227",67,4,,0,,"11",,,0
"15000046835","07/15/2012 00:00:46","M!",53,5,"8465",2,"270227",67,4,,0,,"11",,,0
"15000056836","07/15/2012 00:00:56","Z ",51,1,"8157",7,"270732",321,1,56,1,,,,,0
"15000058837","07/15/2012 00:00:58","Z ",54,5,"8557",1,"271025",1030,1,-2,1,,,,,0
"15000106838","07/15/2012 00:01:06","MK",55,4,"8713",8,"270478",690,1,6,0,,"11",,,0
"15000116839","07/15/2012 00:01:16","M ",59,1,"8738",8,"270254",236,1,76,0,,"11",,,0
"15000118840","07/15/2012 00:01:18","Z ",53,5,"8465",2,"270227",67,2,18,1,,,,,0
"15000115841","07/15/2012 00:01:15","MK",51,1,"8157",7,"270732",321,1,75,0,,"11",,,0
"15000122842","07/15/2012 00:01:22","M ",54,5,"8557",1,"271025",1030,1,22,0,,"FA",,,0
"15000130843","07/15/2012 00:01:30","Z ",54,1,"8389",4,"270645",242,1,30,1,,,,,0
"15000132844","07/15/2012 00:01:32","Z!",59,6,"8693",3,"270728",807,2,,0,,,,,0
"15000142845","07/15/2012 00:01:42","Z ",58,5,"8717",8,"270196",302,1,42,1,,,,,0
"15000153846","07/15/2012 00:01:53","Z ",54,5,"8557",1,"271025",1050,3,-7,1,,,,,0
"15000155847","07/15/2012 00:01:55","Z ",52,1,"8360",1,"270871",134,1,-5,1,,,,,0
"15000203848","07/15/2012 00:02:03","M ",58,5,"8717",8,"270196",302,1,63,0,,"11",,,0
"15000209849","07/15/2012 00:02:09","Z ",51,1,"8157",7,"270732",250,3,69,1,,,,,0
"15000213850","07/15/2012 00:02:13","Z ",59,1,"8738",8,"270254",113,1,73,1,,,,,0
"15000214851","07/15/2012 00:02:14","MR",53,5,"8465",2,"270227",8120,1,,0,,"11",,,0
"15000225852","07/15/2012 00:02:25","Z ",54,1,"8389",4,"270645",5144,5,25,1,,,,,0
"15000232853","07/15/2012 00:02:32","Z!",57,4,"8344",7,"270822",473,1,,0,,,,,0
"15000238854","07/15/2012 00:02:38","V+",59,2,"8739",8,"270245",0,0,0,0,,,,,0
"15000127855","07/15/2012 00:01:27","Z ",59,2,"8739",8,"270245",612,2,-11613,0,,,,,0
"15000238856","07/15/2012 00:02:38","PP",59,2,"8739",8,"270245",0,0,0,0,"3BE","090712","00BD","0002",0
"15000238857","07/15/2012 00:02:38","P+",59,2,"8739",8,"270245",0,0,0,0,"459","459",,,0
"15000232858","07/15/2012 00:02:32","M ",54,5,"8557",1,"271025",1050,3,32,0,,"10",,,0
"15000239859","07/15/2012 00:02:39","Z ",55,4,"8713",8,"270478",1108,2,-21,1,,,,,0
"15000244860","07/15/2012 00:02:44","M ",59,1,"8738",8,"270254",113,1,104,0,,"11",,,0
"15000248861","07/15/2012 00:02:48","Z ",53,1,"8458",2,"270860",765,1,-12,1,,,,,0
"15000304862","07/15/2012 00:03:04","Z ",54,5,"8557",1,"271025",1049,3,4,1,,,,,0
"15000309863","07/15/2012 00:03:09","Z ",52,1,"8360",1,"270871",348,1,9,1,,,,,0
"15000312864","07/15/2012 00:03:12","MK",53,1,"8458",2,"270860",765,1,12,0,,"11",,,0
"15000317865","07/15/2012 00:03:17","Z ",56,4,"8158",7,"270819",697,1,-43,1,,,,,0
"15000323866","07/15/2012 00:03:23","MK",53,5,"8465",2,"270227",508,1,23,0,,"11",,,0
"15000325867","07/15/2012 00:03:25","M ",54,5,"8557",1,"271025",1049,3,25,0,,"FA",,,0
"15000325868","07/15/2012 00:03:25","Z ",59,1,"8738",8,"270254",395,1,85,1,,,,,0
"15000322869","07/15/2012 00:03:22","MK",52,1,"8360",1,"270871",348,1,22,0,,"11",,,0
"15000329870","07/15/2012 00:03:29","Z ",52,5,"8559",1,"270869",946,2,-10291,1,"D",,,,0
"15000331871","07/15/2012 00:03:31","Z ",52,5,"8559",1,"270869",945,2,-10289,1,"FD",,,,0
"15000333872","07/15/2012 00:03:33","Z ",55,4,"8713",8,"270478",713,1,-27,1,,,,,0
"15000335873","07/15/2012 00:03:35","Z ",54,1,"8389",4,"270645",499,1,35,1,,,,,0
"15000341874","07/15/2012 00:03:41","Z ",58,1,"8661",3,"270666",694,1,-19,1,,,,,0
"15000344875","07/15/2012 00:03:44","M ",59,1,"8738",8,"270254",395,1,104,0,,"11",,,0
"15000350876","07/15/2012 00:03:50","V+",51,51,"9051",1,"270332",0,0,0,0,,,,,0
"15000350877","07/15/2012 00:03:50","PP",51,51,"9051",1,"270332",0,0,0,0,"3BE","090712","00BD","0002",0
"15000350878","07/15/2012 00:03:50","P+",51,51,"9051",1,"270332",0,0,0,0,"9451","851",,,0
"15000350879","07/15/2012 00:03:50","Z ",54,5,"8557",1,"271025",49,5,-10,1,,,,,0
"15000350880","07/15/2012 00:03:50","Z ",58,5,"8717",8,"270196",5002,9,-10,1,,,,,0
"15000358881","07/15/2012 00:03:58","Z ",52,1,"8360",1,"270871",1075,1,-2,1,,,,,0
